project,project_url,policy_url,ai_llms_allowed,disclosure_required,copyright_statement,human_in_loop,notes,github_owner,github_repo,is_github,resolved_by_hand
Adwaita,https://gitlab.gnome.org/GNOME/libadwaita,https://gitlab.gnome.org/GNOME/libadwaita/-/blob/main/CONTRIBUTING.md?ref_type=heads#use-of-generative-ai,No,-,-,-,,,,False,False
Alacritty,https://github.com/alacritty/alacritty,https://github.com/alacritty/alacritty/blob/master/CONTRIBUTING.md#llmai-contributions,No,-,-,-,,alacritty,alacritty,True,False
Allium,https://allium.moongarden.dev,https://github.com/moongardenmods/allium/blob/main/CONTRIBUTING.md#ai-contributions,No,-,-,-,-,moongardenmods,allium,True,False
Amberol,https://gitlab.gnome.org/World/amberol,https://gitlab.gnome.org/World/amberol/-/blob/main/CONTRIBUTING.md#use-of-generative-ai,No,-,Yes,-,"Use of AI to ""answer questions and find information"" permitted but strongly discouraged in favour of ""existing documentation"" and ""chats and forums""",,,False,False
Apache Airflow,https://airflow.apache.org/,https://github.com/apache/airflow/blob/main/contributing-docs/05_pull_requests.rst#gen-ai-assisted-contributions,Yes,Yes,Yes,Yes,[Add Copilot code review instructions to catch AI-slop PRs#62442](https://github.com/apache/airflow/pull/62442),apache,airflow,True,False
Apache CouchDB,https://couchdb.apache.org,https://github.com/apache/couchdb/blob/main/CONTRIBUTING.md#artificial-intelligence-and-large-language-models-contributions-policy,No,-,-,-,,apache,couchdb,True,False
Apache DataFusion,https://datafusion.apache.org,https://datafusion.apache.org/contributor-guide/index.html#ai-assisted-contributions,Yes,No,No,Yes,[Better ways to contribute than an AI dump](https://datafusion.apache.org/contributor-guide/index.html#better-ways-to-contribute-than-an-ai-dump),,,False,False
Apache Kvrocks,https://kvrocks.apache.org/,https://kvrocks.apache.org/community/contributing/#guidelines-for-ai-assisted-contributions,Yes,Yes,Yes,Yes,,apache,kvrocks,True,True
Apache PouchDB,https://pouchdb.com,https://github.com/apache/pouchdb/blob/master/CONTRIBUTING.md#artificial-intelligence-and-large-language-models-contributions-policy,No,-,-,-,,apache,pouchdb,True,False
Apache® Software Foundation (ASF),https://www.apache.org/,https://www.apache.org/legal/generative-tooling.html,Yes,Yes,Yes,-,"Applies to all ASF projects, but enforcement is decentralized. Requires use of ""Generated-by:"" in commit message.",,,False,False
Arcalibre,https://codeberg.org/rereading/arcalibre,https://blog.rereading.space/rereading-because-books-are-art-and-art-is-labor,No,-,-,-,-,,,False,False
Arrow,https://arrow.apache.org,https://arrow.apache.org/docs/dev/developers/overview.html#ai-generated-code,Yes,Yes,Yes,Yes,,apache,arrow,True,True
Asahi Linux,https://asahilinux.org,https://asahilinux.org/docs/project/policies/slop/,No,-,-,-,,,,False,False
Astropy,https://www.astropy.org/,https://github.com/astropy/astropy-project/blob/main/policies/ai-policy.md,Yes,No,No,Yes,,astropy,astropy-project,True,False
